PointID,X,Y,PolygonID,PolygonName
1,395.0,956.0,1,黄色边界区域
2,412.0,965.0,1,黄色边界区域
3,441.0,949.0,1,黄色边界区域
4,463.0,946.0,1,黄色边界区域
5,465.0,943.0,1,黄色边界区域
6,453.0,921.0,1,黄色边界区域
7,449.0,906.0,1,黄色边界区域
8,453.0,889.0,1,黄色边界区域
9,473.0,863.0,1,黄色边界区域
10,471.0,852.0,1,黄色边界区域
11,487.0,844.0,1,黄色边界区域
12,496.0,830.0,1,黄色边界区域
13,506.0,839.0,1,黄色边界区域
14,514.0,835.0,1,黄色边界区域
15,528.0,838.0,1,黄色边界区域
16,535.0,833.0,1,黄色边界区域
17,543.0,832.0,1,黄色边界区域
18,557.0,846.0,1,黄色边界区域
19,568.0,846.0,1,黄色边界区域
20,572.0,835.0,1,黄色边界区域
21,582.0,824.0,1,黄色边界区域
22,579.0,811.0,1,黄色边界区域
23,584.0,803.0,1,黄色边界区域
24,584.0,794.0,1,黄色边界区域
25,575.0,780.0,1,黄色边界区域
26,575.0,762.0,1,黄色边界区域
27,567.0,750.0,1,黄色边界区域
28,504.0,722.0,1,黄色边界区域
29,464.0,700.0,1,黄色边界区域
30,402.0,658.0,1,黄色边界区域
31,376.0,631.0,1,黄色边界区域
32,371.0,618.0,1,黄色边界区域
33,372.0,594.0,1,黄色边界区域
34,396.0,466.0,1,黄色边界区域
35,442.0,420.0,1,黄色边界区域
36,486.0,416.0,1,黄色边界区域
37,505.0,404.0,1,黄色边界区域
38,523.0,387.0,1,黄色边界区域
39,537.0,380.0,1,黄色边界区域
40,547.0,379.0,1,黄色边界区域
41,618.0,397.0,1,黄色边界区域
42,642.0,400.0,1,黄色边界区域
43,662.0,412.0,1,黄色边界区域
44,678.0,409.0,1,黄色边界区域
45,699.0,398.0,1,黄色边界区域
46,709.0,384.0,1,黄色边界区域
47,721.0,352.0,1,黄色边界区域
48,731.0,337.0,1,黄色边界区域
49,738.0,309.0,1,黄色边界区域
50,743.0,301.0,1,黄色边界区域
51,746.0,277.0,1,黄色边界区域
52,755.0,266.0,1,黄色边界区域
53,757.0,254.0,1,黄色边界区域
54,769.0,239.0,1,黄色边界区域
55,770.0,210.0,1,黄色边界区域
56,775.0,203.0,1,黄色边界区域
57,770.0,185.0,1,黄色边界区域
58,730.0,176.0,1,黄色边界区域
59,690.0,175.0,1,黄色边界区域
60,675.0,171.0,1,黄色边界区域
61,639.0,170.0,1,黄色边界区域
62,635.0,167.0,1,黄色边界区域
63,616.0,171.0,1,黄色边界区域
64,587.0,191.0,1,黄色边界区域
65,552.0,195.0,1,黄色边界区域
66,522.0,192.0,1,黄色边界区域
67,486.0,180.0,1,黄色边界区域
68,407.0,180.0,1,黄色边界区域
69,369.0,158.0,1,黄色边界区域
70,361.0,150.0,1,黄色边界区域
71,348.0,116.0,1,黄色边界区域
72,343.0,110.0,1,黄色边界区域
73,325.0,109.0,1,黄色边界区域
74,270.0,219.0,1,黄色边界区域
75,239.0,244.0,1,黄色边界区域
76,172.0,286.0,1,黄色边界区域
77,151.0,312.0,1,黄色边界区域
78,144.0,330.0,1,黄色边界区域
79,140.0,377.0,1,黄色边界区域
80,135.0,400.0,1,黄色边界区域
81,120.0,441.0,1,黄色边界区域
82,92.0,443.0,1,黄色边界区域
83,71.0,453.0,1,黄色边界区域
84,56.0,447.0,1,黄色边界区域
85,51.0,450.0,1,黄色边界区域
86,42.0,485.0,1,黄色边界区域
87,52.0,492.0,1,黄色边界区域
88,68.0,497.0,1,黄色边界区域
89,86.0,511.0,1,黄色边界区域
90,109.0,520.0,1,黄色边界区域
91,166.0,563.0,1,黄色边界区域
92,185.0,584.0,1,黄色边界区域
93,222.0,674.0,1,黄色边界区域
94,237.0,756.0,1,黄色边界区域
95,252.0,771.0,1,黄色边界区域
96,310.0,799.0,1,黄色边界区域
97,330.0,818.0,1,黄色边界区域
98,341.0,833.0,1,黄色边界区域
99,358.0,867.0,1,黄色边界区域
100,370.0,896.0,1,黄色边界区域
101,376.0,920.0,1,黄色边界区域
102,395.0,956.0,1,黄色边界区域
